5,Олег Ляшко,"Лідер ""Радикальної партії""",01.01.2018,09.01.2018,"Ми запропонували, і 180 депутатів підписались під нашою ініціативою: зміни до Конституції, щоб так, як у Конституції Польщі, Аргентини і Італії прописати, що основою аграрного устрою України є фермерське господарство.",Маніпуляція,"Таку ініціативу справді зареєстрували ще в березні 2017 року, але підписало її 174 депутати, а не 180. Щодо аграрного устрою, то, згідно з польською Конституцією (ст. 23) “основою аграрного устрою держави є сімейне господарство”. Але в головних документах Італії та Аргентини таких статей немає. Більше про конституційний дизайн читайте на сайті VoxUkraine.","http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=61420, http://www.sejm.gov.pl/prawo/konst/rosyjski/kon1.htm, http://www.senato.it/documenti/repository/istituzione/costituzione_inglese.pdf, http://worldconstitutions.ru/?p=358, https://voxukraine.org/uk/category/focus/konstitutsijnij-dizajn/",https://youtu.be/8ZTPsEyCvXo?t=1078
5,Олег Ляшко,"Лідер ""Радикальної партії""",01.01.2018,09.01.2018,"Для того, щоб 70 млрд грн не на субсидії тратить по ЖКХ, фактично консервуючи бідність, а потратить ці 70 млрд на масштабну заміну вікон, дверей, котлів... Гроші є в бюджеті. Тільки сьогодні вони йдуть на субсидії, а фактично в кишені олігархів",Маніпуляція,"Сума правдива. Маніпуляція полягає в тому, що модернізація, по-перше, не може бути одномоментною — вона розтягнеться на кілька років. До її завершення оплачувати комунальні послуги все одно потрібно, і для багатьох домогосподарств зараз це складно. По-друге, навіть після модернізації тарифи залишаться високими — лише знизиться обсяг споживання комунальних послуг. До того ж деякі домогосподарства не зможуть оплачувати комунальні послуги навіть після енергомодернізації, особливо в селах. Отже, система субсидій для найбідніших має залишитися. Але якщо зараз субсидії не стимулюють споживачів до економії, то після їх монетизації такий стимул з’явиться.",http://zakon3.rada.gov.ua/laws/file/text/59/f471810n191.zip,https://youtu.be/8ZTPsEyCvXo?t=2914
5,Олег Ляшко,"Лідер ""Радикальної партії""",01.01.2018,09.01.2018,За нашою ініціативою з 28% до 6% знизили рентну плату на видобуток (природного газу) з нових скважин,Маніпуляція,"Цифри правильні, от тільки неспівставні. Рента на видобуток газу з нових свердловин глибиною до 5000 м знизилася з 29% до 12%, а для свердловин глибиною понад 5000 м - з 14% до 6%. Ляшко з Галасюком пропонували зміну на 12% і 5%. 12% прийняли, а 5% замінили на 6%. Детальніше про видобуток природного газу в Україні у статті “Нашкребти на фонд: як газ і вугілля можуть забезпечити заможність майбутніх поколінь українців”","http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62878, http://w1.c1.rada.gov.ua/pls/zweb2/webproc34?id=&pf3511=62878&pf35401=441135, https://voxukraine.org/uk/gas-coal-prosperity-ua/",https://youtu.be/8ZTPsEyCvXo?t=2938
5,Олег Ляшко,"Лідер ""Радикальної партії""",01.01.2018,09.01.2018,"Ми проголосували, наша ініціатива, моя і мого колеги Галасюка - це на 2 роки скасування, тобто розстрочка ПДВ на нове обладнання",Правда,"7 грудня 2017 Верховна Рада ухвалила зміни до Податкового кодексу, згідно з якими надається розстрочка ПДВ до 24 місяців на імпортне обладнання (поправка №184, запропонована Олегом Ляшком та Віктором Галасюком). Детальніше про податкові стимули веденню бізнесу та покращення інвестиційного клімату у статті “Добрі, погані та негідні: як податкові стимули впливають на інвестиції”","http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62878, http://w1.c1.rada.gov.ua/pls/zweb2/webproc34?id=&pf3511=62878&pf35401=441135, https://voxukraine.org/uk/dobri-pogani-ta-negidni-yak-podatkovi-stimuli-vplivayut-na-investitsiyi/",https://youtu.be/8ZTPsEyCvXo?t=2947
2,Петро Порошенко,Президент України,06.01.2018,19.01.2018,"...економічна блокада Донбасу, за оцінками НБУ, принесла до $2,5 млрд чистих втрат у торговому балансі. Ми недорахувалися близько 1% зростання ВВП і отримали стагнацію в промисловості. Тим не менш, вдалося зберегти позитивний тренд.",Правда,"За березневими оцінками НБУ, зростання економіки у 2017 році знизиться на 1% через блокаду ОРДЛО. Водночас за грудневою оцінкою регулятора чисті втрати платіжного балансу у 2017 році внаслідок блокади складуть $1,8 млрд, а в 2018 $0,5 млрд. Промисловість справді знаходилась у стагнації. Наприклад, у квітні промислове виробництво зменшилося на 6,1%. Проте, вже в листопаді воно показало ріст 0,3%.","https://bank.gov.ua/control/uk/publish/article?art_id=45461006, https://www.facebook.com/NationalBankOfUkraine/posts/1970915423122620 http://www.ukrstat.gov.ua/operativ/operativ2016/pr/ipp/ipp_u/arh_ipp_u.htm",https://nv.ua/ukr/opinion/Poroshenko_P/mir-ta-rozvitok--2442829.html
2,Петро Порошенко,Президент України,06.01.2018,19.01.2018,Гроші в бюджет-2018 на цю інституцію вже заклали,Правда,"Згідно з бюджетом 2018-го року (д. 8) на Антикорупційний суд виділяється 36,9 млн грн.",http://zakon2.rada.gov.ua/laws/file/text/59/f471810n191.xls,https://nv.ua/ukr/opinion/Poroshenko_P/mir-ta-rozvitok--2442829.html
2,Петро Порошенко,Президент України,06.01.2018,19.01.2018,Також я звернувся до уряду із закликом продовжити мораторій на перевірку малого і середнього бізнесу.,Правда,"1 грудня Президент справді запропонував КМУ продовжити мораторій на перевірку малого та середнього бізнесу. Цей пункт включили в бюджет, проте ми не можемо оцінити вплив Президента на його появу.","https://prm.ua/poroshenko-zaproponuvav-prodovzhiti-moratoriy-na-perevirku-biznesu/, http://zakon3.rada.gov.ua/laws/show/2246-19/page",https://nv.ua/ukr/opinion/Poroshenko_P/mir-ta-rozvitok--2442829.html
2,Петро Порошенко,Президент України,06.01.2018,19.01.2018,"Для покращення інвестиційного клімату підписав закон, який зупиняє «маски-шоу» силовиків на підприємствах.",Маніпуляція,"1 грудня 2017 року Петро Порошенко підписав закон “стоп маски-шоу”. Зокрема, у законі є такі нововведення: під час судового розгляду та досудового розслідування має відбуватися звуко- та відеофіксація,під час обшуку обов’язково має бути присутній адвокат,забороняється вилучати сервери, жорсткі диски та інші електронні інформаційні системи або їх частини;забороняється відкриття справи одним органом, після закриття іншим за однаковою фабулою. Однак закон не зупиняє “маски-шоу”, а зобов’язує силовиків фіксувати їх на камеру.",https://www.pravda.com.ua/news/2017/12/1/7163946/,https://nv.ua/ukr/opinion/Poroshenko_P/mir-ta-rozvitok--2442829.html
2,Петро Порошенко,Президент України,06.01.2018,19.01.2018,Сам кошторис Збройних сил збільшено ще на 25% і він становить 86 млрд грн.,Правда,"Видатки на МО збільшені з 68,8 млрд грн у 2017 році до 86,5 млрд грн у 2018 році або на 25,7%.","http://zakon2.rada.gov.ua/laws/file/text/58/f463274n199.zip, http://zakon3.rada.gov.ua/laws/file/text/59/f471810n190.zip",https://nv.ua/ukr/opinion/Poroshenko_P/mir-ta-rozvitok--2442829.html
133,Анатолій Гриценко,"Лідер партії ""Громадянська позиція""",08.01.2018,09.01.2018,"Є Конституція України, документ найвищого рівня, який передбачає, що в країні є одна посадова особа, яка називається Верховний Головнокомандувач. У випадку, якщо здійснено акт агресії проти нашої з вами держави, окупована частина території, згідно з Конституцією і законами, які в її розвиток прийняті: Закон про оборону - передбачає, що Верховний Головнокомандувач утворює ставку верховного командування на основі Генерального штабу. І через старшого військового начальника, яким є начальник Генштабу, безпосередньо він, сам Президент, Порошенко Петро Олексійович, управляє військами.",Маніпуляція,"Стаття 8 ЗУ “Про оборону України” справді передбачає можливість створення Ставки Верховного Головнокомандувача. Але робити це не обов'язково. У законі це звучить так:“Для забезпечення стратегічного керівництва Збройними Силами України іншими військовими формуваннями та правоохоронними органами в особливий період може створюватися Ставка Верховного Головнокомандувача як вищий колегіальний орган воєнного керівництва обороною держави у цей період”. Хочете детальніше розібратись, які ще функції виконує Президент і якою владою володіє? Читайте статтю “Уся президентська влада: повноваження та вплив Порошенка порівняно з президентами інших країн”",http://zakon3.rada.gov.ua/laws/show/1932-12 https://voxukraine.org/uk/presidential-power-in-ukraine-comparative-perspective-ua/,https://youtu.be/tBMO1hVf3HE?t=707
